observation_date,ground_truth,ARDL_v2
01/2023,119.007,120.46657321604536
02/2023,119.401,121.40647277912142
03/2023,119.553,121.57826127144472
04/2023,119.97,121.73969610901234
05/2023,120.14,121.59204851209128
06/2023,120.435,121.57450568810773
07/2023,120.598,121.92914648145823
08/2023,120.965,123.70809432796447
09/2023,121.387,124.96448828308498
10/2023,121.421,125.03185455598744
11/2023,121.415,124.96238289862943
12/2023,121.602,125.64967547944907
