"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2025","19,523.40","19,215.32","19,862.54","19,141.41","6.28B","-0.53%"
"01/01/2025","19,627.44","19,403.90","20,118.61","18,831.91","27.48B","1.64%"
"01/12/2024","19,310.79","19,255.43","20,204.58","19,168.38","29.49B","0.48%"
"01/11/2024","19,218.17","18,189.67","19,366.07","18,112.83","25.04B","6.21%"
"01/10/2024","18,095.15","18,154.94","18,785.49","17,767.79","23.32B","-0.52%"
"01/09/2024","18,189.17","17,585.45","18,327.34","16,668.57","23.21B","2.68%"
"01/08/2024","17,713.62","17,647.03","18,017.69","15,708.54","26.77B","0.65%"
"01/07/2024","17,599.40","17,773.90","18,671.07","17,015.38","23.24B","-0.75%"
"01/06/2024","17,732.60","16,865.70","18,035.00","16,646.43","24.96B","5.96%"
"01/05/2024","16,735.01","15,646.09","17,032.65","15,557.64","25.03B","6.88%"
"01/04/2024","15,657.82","16,397.05","16,490.65","15,222.78","21.21B","-4.41%"
"01/03/2024","16,379.46","16,109.83","16,538.86","15,862.63","23.15B","1.79%"
"01/02/2024","16,091.92","15,254.02","16,134.22","15,208.88","21.72B","6.12%"
"01/01/2024","15,164.01","14,873.70","15,630.58","14,477.57","21.22B","1.02%"
"01/12/2023","15,011.35","14,181.35","15,150.07","14,058.52","23.68B","5.52%"
"01/11/2023","14,226.22","12,887.06","14,423.22","12,875.20","19.77B","10.70%"
"01/10/2023","12,851.24","13,217.99","13,714.14","12,543.86","19.19B","-2.78%"
"01/09/2023","13,219.32","14,129.96","14,149.62","12,963.16","19.74B","-5.81%"
"01/08/2023","14,034.97","14,274.93","14,309.21","13,161.76","21.07B","-2.17%"
"01/07/2023","14,346.02","13,798.70","14,446.55","13,567.25","19.25B","4.05%"
"01/06/2023","13,787.92","12,944.46","13,864.06","12,903.63","25.04B","6.59%"
"01/05/2023","12,935.28","12,210.05","13,154.29","11,925.37","21.61B","5.80%"
"01/04/2023","12,226.58","12,146.09","12,245.43","11,798.77","17.28B","0.04%"
"01/03/2023","12,221.91","11,447.58","12,227.93","10,982.80","25.37B","6.69%"
"01/02/2023","11,455.54","11,573.14","12,269.56","11,334.47","19.32B","-1.11%"
"01/01/2023","11,584.55","10,562.06","11,691.89","10,265.04","19.91B","10.68%"
"01/12/2022","10,466.48","11,475.17","11,571.64","10,207.47","21.69B","-8.73%"
"01/11/2022","11,468.00","11,154.74","11,492.62","10,262.93","20.08B","4.37%"
"01/10/2022","10,988.15","10,659.01","11,230.44","10,088.83","19.93B","3.90%"
"01/09/2022","10,575.62","11,707.44","12,270.19","10,572.33","22.03B","-10.50%"
"01/08/2022","11,816.20","12,317.96","13,181.09","11,790.02","21.71B","-4.64%"
"01/07/2022","12,390.69","11,006.83","12,426.26","10,911.45","18.16B","12.35%"
