observation_date,FDHBFIN,FDHBFIN_CCA,FDHBFIN_CCH,FDHBFIN_CH1,FDHBFIN_CHG,FDHBFIN_LOG,FDHBFIN_PC1,FDHBFIN_PCA,FDHBFIN_PCH,FDHBFRBN,FDHBFRBN_CCA,FDHBFRBN_CCH,FDHBFRBN_CH1,FDHBFRBN_CHG,FDHBFRBN_LOG,FDHBFRBN_PC1,FDHBFRBN_PCA,FDHBFRBN_PCH,FDHBPIN,FDHBPIN_CCA,FDHBPIN_CCH,FDHBPIN_CH1,FDHBPIN_CHG,FDHBPIN_LOG,FDHBPIN_PC1,FDHBPIN_PCA,FDHBPIN_PCH,FYGFDPUN,FYGFDPUN_CCA,FYGFDPUN_CCH,FYGFDPUN_CH1,FYGFDPUN_CHG,FYGFDPUN_LOG,FYGFDPUN_PC1,FYGFDPUN_PCA,FYGFDPUN_PCH
1984-04-01,171.6,12.54912,3.13728,11.5,5.3,5.14517,7.18301,13.37052,3.18701,152.900,5.53186,1.38297,11.200,2.100,5.02978,7.90402,5.68773,1.39257,1102.2,10.73989,2.68497,153.6,29.2,7.00506,16.19228,11.33783,2.72134,1255100,10.06976,2.51744,164809,31202,14.04273,15.11606,10.59422,2.54940
1984-07-01,175.6,9.21700,2.30425,15.5,4.0,5.16821,9.68145,9.65512,2.33100,155.000,5.45640,1.36410,-0.400,2.100,5.04343,-0.25740,5.60801,1.37345,1154.1,18.40505,4.60126,171.4,51.9,7.05108,17.44174,20.20766,4.70876,1309183,16.87521,4.21880,170995,54083,14.08491,15.02344,18.38266,4.30906
1984-10-01,192.9,37.58530,9.39632,26.6,17.3,5.26217,15.99519,45.62330,9.85194,160.900,14.94317,3.73579,9.000,5.900,5.08078,5.92495,16.11742,3.80645,1212.5,19.74541,4.93635,189.9,58.4,7.10044,18.57031,21.82971,5.06022,1373366,19.14455,4.78614,198941,64183,14.13278,16.93944,21.09989,4.90252
1985-01-01,199.6,13.65738,3.41434,33.3,6.7,5.29632,20.02405,14.63394,3.47330,161.000,0.24852,0.06213,10.200,0.100,5.08140,6.76393,0.24883,0.06215,1254.1,13.49354,3.37338,181.1,41.6,7.13417,16.87791,14.44628,3.43093,1415232,12.01153,3.00288,191334,41866,14.16280,15.63317,12.76268,3.04842
1985-04-01,213.8,27.49025,6.87256,42.2,14.2,5.36504,24.59207,31.64024,7.11423,169.100,19.63436,4.90859,16.200,8.100,5.13049,10.59516,21.69449,5.03106,1292.0,11.90929,2.97732,189.8,37.9,7.16395,17.22011,12.64745,3.02209,1460484,12.58976,3.14744,205384,45252,14.19428,16.36396,13.41661,3.19750
1985-07-01,222.9,16.67290,4.16822,47.3,9.1,5.40672,26.93622,18.14340,4.25631,169.700,1.41677,0.35419,14.700,0.600,5.13403,9.48387,1.42685,0.35482,1338.2,14.05361,3.51340,184.1,46.2,7.19908,15.95182,15.08906,3.57585,1506558,12.42388,3.10597,197375,46074,14.22534,15.07620,13.22862,3.15471
1985-10-01,224.8,3.39515,0.84879,31.9,1.9,5.41521,16.53707,3.45344,0.85240,181.300,26.44838,6.61209,20.400,11.600,5.20015,12.67868,30.27583,6.83559,1417.2,22.94307,5.73577,204.7,79.0,7.25644,16.88247,25.78837,5.90345,1597083,23.34050,5.83513,223717,90525,14.28369,16.28969,26.28929,6.00873
1986-01-01,232.6,13.64365,3.41091,33.0,7.8,5.44932,16.53307,14.61821,3.46975,184.800,7.64842,1.91210,23.800,3.500,5.21927,14.78261,7.94851,1.93050,1473.1,15.47437,3.86859,219.0,55.9,7.29512,17.46272,16.73588,3.94440,1634259,9.20426,2.30107,219027,37176,14.30670,15.47640,9.64115,2.32774
1986-04-01,250.9,30.29369,7.57342,37.1,18.3,5.52505,17.35267,35.38290,7.86758,183.900,-1.95281,-0.48820,14.800,-0.900,5.21439,8.75222,-1.93387,-0.48701,1502.7,7.95779,1.98945,210.7,29.6,7.31502,16.30805,8.28299,2.00937,1684939,12.21595,3.05399,224455,50680,14.33724,15.36854,12.99343,3.10110
1986-07-01,265.5,22.62415,5.65604,42.6,14.6,5.58161,19.11171,25.38785,5.81905,190.800,14.73345,3.68336,21.100,6.900,5.25123,12.43371,15.87415,3.75204,1553.3,13.24728,3.31182,215.1,50.6,7.34814,16.07383,14.16480,3.36727,1742445,13.42398,3.35599,235887,57506,14.37080,15.65735,14.36670,3.41294
1986-10-01,263.4,-3.17642,-0.79411,38.6,-2.1,5.57367,17.17082,-3.12650,-0.79096,211.300,40.82127,10.20532,30.000,20.500,5.35328,16.54716,50.41270,10.74423,1602.0,12.34846,3.08711,184.8,48.7,7.37901,13.03980,13.14326,3.13526,1811744,15.60025,3.90006,214661,69299,14.40980,13.44082,16.88291,3.97711
1987-01-01,272.8,14.02605,3.50651,40.2,9.4,5.60874,17.28289,15.05735,3.56872,196.400,-29.25021,-7.31255,11.600,-14.900,5.28015,6.27706,-25.36063,-7.05159,1641.4,9.71868,2.42967,168.3,39.4,7.40330,11.42489,10.20662,2.45943,1839271,6.03175,1.50794,205012,27527,14.42488,12.54465,6.21738,1.51936
1987-04-01,281.1,11.98862,2.99716,30.2,8.3,5.63871,12.03667,12.73686,3.04252,212.300,31.13879,7.78470,28.400,15.900,5.35800,15.44318,36.53187,8.09572,1658.1,4.04913,1.01228,155.4,16.7,7.41343,10.34139,4.13223,1.01742,1871150,6.87357,1.71839,186211,31879,14.44206,11.05150,7.11530,1.73324
