"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2025","32.443","32.440","32.590","32.335","335.75K","0.55%"
"01/01/2025","32.265","29.190","32.920","29.190","139.92K","10.88%"
"12/01/2024","29.098","30.740","32.975","28.890","11.66K","-5.63%"
"11/01/2024","30.835","32.795","33.250","29.750","1.24M","-5.98%"
"10/01/2024","32.796","31.330","34.900","30.310","174.04K","4.25%"
"09/01/2024","31.458","28.650","32.855","27.960","135.06K","8.98%"
"08/01/2024","28.865","29.165","30.225","26.505","1.40M","-0.25%"
"07/01/2024","28.938","29.285","31.770","27.375","130.42K","-1.53%"
"06/01/2024","29.388","30.625","31.670","28.580","1.50M","-3.46%"
"05/01/2024","30.440","26.405","32.570","26.150","244.16K","14.73%"
"04/01/2024","26.532","25.140","29.905","24.855","2.22M","5.95%"
"03/01/2024","25.042","22.885","25.975","22.710","1.30M","9.43%"
"02/01/2024","22.885","23.435","23.630","22.120","103.24K","-1.71%"
"01/01/2024","23.282","24.045","24.335","22.040","1.10M","-3.34%"
"12/01/2023","24.086","25.525","26.050","22.700","85.51K","-4.77%"
"11/01/2023","25.293","22.955","25.325","21.925","1.24M","10.20%"
"10/01/2023","22.952","22.410","23.880","20.850","1.33M","2.24%"
"09/01/2023","22.450","24.820","25.220","22.325","1.12M","-9.52%"
"08/01/2023","24.812","25.250","25.425","22.585","527.83K","-2.06%"
"07/01/2023","25.335","23.290","25.820","23.060","45.96K","8.56%"
"06/01/2023","23.337","24.180","25.140","22.665","18.20K","-3.31%"
"05/01/2023","24.135","25.930","26.940","23.340","16.35K","-6.36%"
"04/01/2023","25.773","24.965","26.920","24.445","13.36K","3.71%"
"03/01/2023","24.851","21.900","24.975","20.615","8.16K","14.42%"
"02/01/2023","21.720","24.565","25.650","21.200","6.81K","-12.21%"
"01/01/2023","24.742","25.150","25.585","23.795","1.72K","-0.56%"
"12/01/2022","24.881","23.540","25.250","23.155","0.73K","10.08%"
"11/01/2022","22.603","19.945","23.150","19.945","0.87K","13.18%"
"10/01/2022","19.970","21.890","21.890","18.920","0.20K","1.35%"
"09/01/2022","19.704","18.250","19.880","18.250","0.13K","5.61%"
"08/01/2022","18.657","21.175","21.540","18.860","0.04K","-11.43%"
"07/01/2022","21.064","20.700","20.845","19.100","0.05K","-1.12%"
"06/01/2022","21.303","22.660","23.050","21.260","0.06K","-6.50%"
"05/01/2022","22.785","21.800","23.325","21.800","0.01K","-5.31%"
"04/01/2022","24.063","26.200","26.200","25.440","0.02K","-7.85%"
"03/01/2022","26.112","26.810","26.810","26.150","0.01K","4.09%"
"02/01/2022","25.087","22.750","25.680","22.050","0.00K","9.11%"
"01/01/2022","22.992","23.770","24.100","23.300","0.01K","-3.76%"
"12/01/2021","23.890","23.050","23.050","23.050","0.01K","2.43%"
"11/01/2021","23.324","24.190","25.700","23.530","0.19K","-4.30%"
"10/01/2021","24.373","22.610","24.280","22.610","0.01K","8.40%"
"09/01/2021","22.484","23.100","23.100","22.550","0.01K","-8.31%"
"08/01/2021","24.523","24.000","24.000","23.680","0.01K","-6.18%"
"07/01/2021","26.137","26.250","26.910","24.515","1.09M","-4.46%"
"06/01/2021","27.356","28.005","28.005","28.005","0.00K","-6.72%"
"05/01/2021","29.326","25.990","28.900","25.850","1.29M","7.72%"
"04/01/2021","27.225","27.400","27.400","27.400","0.00K","4.85%"
"03/01/2021","25.965","28.030","28.030","25.950","0.01K","-6.81%"
"02/01/2021","27.862","28.000","28.090","27.785","0.01K","0.63%"
"01/01/2021","27.688","27.200","27.200","27.200","0.00K","1.69%"
"12/01/2020","27.228","22.690","27.475","22.690","89.12K","16.04%"
"11/01/2020","23.464","23.710","26.130","22.230","3.60K","-5.24%"
"10/01/2020","24.761","23.355","25.710","22.865","1.37M","0.67%"
"09/01/2020","24.595","27.735","27.735","27.735","0.00K","-17.31%"
"08/01/2020","29.744","24.480","29.970","23.665","5.64K","15.42%"
"07/01/2020","25.770","18.580","26.275","17.995","2.15M","30.46%"
"06/01/2020","19.753","18.740","18.885","17.125","128.30K","1.44%"
"05/01/2020","19.473","15.075","18.500","14.760","985.35K","22.06%"
"04/01/2020","15.953","14.175","16.350","14.175","110.21K","6.24%"
"03/01/2020","15.016","16.500","17.615","11.640","1.92M","-14.54%"
"02/01/2020","17.570","18.135","18.960","16.400","350.83K","-8.60%"
"01/01/2020","19.224","17.905","18.895","17.280","1.73M","0.35%"
"12/01/2019","19.156","17.025","18.200","16.550","126.27K","4.23%"
"11/01/2019","18.378","18.115","18.210","16.680","4.94K","-5.52%"
"10/01/2019","19.451","17.045","18.350","16.940","1.54M","5.74%"
"09/01/2019","18.395","18.415","18.415","18.245","0.00K","-5.99%"
"08/01/2019","19.567","19.255","20.210","19.255","0.01K","9.61%"
"07/01/2019","17.852","15.315","16.685","14.915","1.79M","6.64%"
"06/01/2019","16.741","16.800","16.800","16.800","0.00K","3.42%"
"05/01/2019","16.187","14.975","14.995","14.265","1.22M","-3.97%"
"04/01/2019","16.857","15.175","15.300","14.735","130.02K","-1.02%"
"03/01/2019","17.031","15.630","15.665","14.985","1.17M","-3.83%"
"02/01/2019","17.710","15.830","16.220","15.510","137.05K","-2.86%"
"01/01/2019","18.231","15.550","16.080","15.195","1.26M","3.01%"
"12/01/2018","17.699","14.400","15.575","14.390","115.69K","24.82%"
"11/01/2018","14.180","14.305","14.955","13.925","6.02K","-1.01%"
"10/01/2018","14.324","14.725","14.950","14.255","1.56M","-2.64%"
