"Date","Close","Volume"
"1985-01-01T00:00:00.000Z","1,280.80","0"
"1985-02-01T00:00:00.000Z","1,259.70","0"
"1985-03-01T00:00:00.000Z","1,277.00","0"
"1985-03-31T23:00:00.000Z","1,291.00","0"
"1985-04-30T23:00:00.000Z","1,313.00","0"
"1985-05-31T23:00:00.000Z","1,234.90","0"
"1985-06-30T23:00:00.000Z","1,261.70","0"
"1985-07-31T23:00:00.000Z","1,340.80","0"
"1985-08-31T23:00:00.000Z","1,290.00","0"
"1985-09-30T23:00:00.000Z","1,377.20","0"
"1985-11-01T00:00:00.000Z","1,439.10","0"
"1985-12-01T00:00:00.000Z","1,412.60","0"
"1986-01-01T00:00:00.000Z","1,435.00","0"
"1986-02-01T00:00:00.000Z","1,543.90","0"
"1986-03-01T00:00:00.000Z","1,668.80","0"
"1986-03-31T23:00:00.000Z","1,660.50","0"
"1986-04-30T23:00:00.000Z","1,602.80","0"
"1986-05-31T23:00:00.000Z","1,649.80","0"
"1986-06-30T23:00:00.000Z","1,558.10","0"
"1986-07-31T23:00:00.000Z","1,661.20","0"
"1986-08-31T23:00:00.000Z","1,555.80","0"
"1986-09-30T23:00:00.000Z","1,632.10","0"
"1986-11-01T00:00:00.000Z","1,636.70","0"
"1986-12-01T00:00:00.000Z","1,679.00","0"
"1987-01-01T00:00:00.000Z","1,808.30","0"
"1987-02-01T00:00:00.000Z","1,979.20","0"
"1987-03-01T00:00:00.000Z","1,997.60","0"
"1987-03-31T23:00:00.000Z","2,050.50","0"
"1987-04-30T23:00:00.000Z","2,203.00","0"
"1987-05-31T23:00:00.000Z","2,284.10","0"
"1987-06-30T23:00:00.000Z","2,360.90","0"
"1987-07-31T23:00:00.000Z","2,249.70","0"
"1987-08-31T23:00:00.000Z","2,366.00","0"
"1987-09-30T23:00:00.000Z","1,749.80","0"
"1987-11-01T00:00:00.000Z","1,579.90","0"
"1987-12-01T00:00:00.000Z","1,713.90","0"
"1988-01-01T00:00:00.000Z","1,790.80","0"
"1988-02-01T00:00:00.000Z","1,768.80","0"
"1988-03-01T00:00:00.000Z","1,742.50","0"
"1988-03-31T23:00:00.000Z","1,802.20","0"
"1988-04-30T23:00:00.000Z","1,784.50","0"
"1988-05-31T23:00:00.000Z","1,857.60","0"
"1988-06-30T23:00:00.000Z","1,853.60","0"
"1988-07-31T23:00:00.000Z","1,753.60","0"
"1988-08-31T23:00:00.000Z","1,826.50","0"
"1988-09-30T23:00:00.000Z","1,852.40","0"
"1988-11-01T00:00:00.000Z","1,792.40","0"
"1988-12-01T00:00:00.000Z","1,793.10","0"
"1989-01-01T00:00:00.000Z","2,051.80","0"
"1989-02-01T00:00:00.000Z","2,002.40","0"
"1989-03-01T00:00:00.000Z","2,075.00","0"
"1989-03-31T23:00:00.000Z","2,118.00","0"
"1989-04-30T23:00:00.000Z","2,114.40","0"
"1989-05-31T23:00:00.000Z","2,151.00","0"
"1989-06-30T23:00:00.000Z","2,297.00","0"
"1989-07-31T23:00:00.000Z","2,387.90","0"
"1989-08-31T23:00:00.000Z","2,299.40","0"
"1989-09-30T23:00:00.000Z","2,142.60","0"
"1989-11-01T00:00:00.000Z","2,276.80","0"
"1989-12-01T00:00:00.000Z","2,422.70","0"
"1990-01-01T00:00:00.000Z","2,337.30","0"
"1990-02-01T00:00:00.000Z","2,255.40","0"
"1990-03-01T00:00:00.000Z","2,247.90","0"
"1990-03-31T23:00:00.000Z","2,103.40","0"
"1990-04-30T23:00:00.000Z","2,345.10","0"
"1990-05-31T23:00:00.000Z","2,374.60","0"
"1990-06-30T23:00:00.000Z","2,326.20","0"
"1990-07-31T23:00:00.000Z","2,162.80","0"
"1990-08-31T23:00:00.000Z","1,990.20","0"
"1990-09-30T23:00:00.000Z","2,050.30","0"
"1990-11-01T00:00:00.000Z","2,149.40","0"
"1990-12-01T00:00:00.000Z","2,143.50","0"
"1991-01-01T00:00:00.000Z","2,170.30","0"
"1991-02-01T00:00:00.000Z","2,380.90","0"
"1991-03-01T00:00:00.000Z","2,456.50","0"
"1991-03-31T23:00:00.000Z","2,486.20","0"
